Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene00437	28	75	27	24	24	50	45	39	70
PH02Gene00438	6	8	12	9	8	10	3	6	2
PH02Gene00439	12	5	32	17	25	2	21	20	0
PH02Gene00440	1	1	8	18	4	0	8	1	0
PH02Gene00441	31	22	15	7	17	22	12	27	2
PH02Gene00442	41	17	19	25	4	15	42	6	38
PH02Gene00443	46	9	25	26	15	9	24	37	23
PH02Gene00444	6	0	1	8	9	5	0	6	0
PH02Gene00445	6	0	8	2	8	0	8	1	0
PH02Gene00446	10	0	2	0	6	0	10	8	0
PH02Gene00447	36	80	186	56	91	120	58	108	80
PH02Gene00448	5	0	13	2	13	4	4	12	2
PH02Gene00449	9	1	7	2	2	2	7	14	0
PH02Gene00450	5	2	3	5	10	1	2	0	4
PH02Gene00451	2	2	3	2	10	1	3	16	0
PH02Gene00452	4	0	2	9	4	0	10	2	0
PH02Gene00453	6	0	5	0	0	0	4	1	0
PH02Gene00454	15	10	34	11	22	15	7	11	2
PH02Gene00455	1	0	6	1	8	1	7	0	0
PH02Gene00456	12	4	10	8	0	2	6	3	0
PH02Gene00457	4	0	16	8	4	0	8	4	0
PH02Gene00458	31	11	12	22	20	9	11	24	4
PH02Gene00459	70	6	46	40	35	13	49	39	10
PH02Gene00460	6	11	2	4	8	10	14	8	5
PH02Gene00461	0	0	1	0	0	0	0	0	0
PH02Gene00462	5	2	8	7	4	2	4	2	0
PH02Gene00463	19	5	38	16	25	4	16	20	1
PH02Gene00464	1	0	2	0	6	0	0	1	0
PH02Gene00465	0	0	1	0	0	0	6	0	0
PH02Gene00466	4	2	6	14	3	5	0	2	1
PH02Gene00467	7	4	4	11	17	4	14	4	0
PH02Gene00468	1	5	2	0	0	1	2	2	6
PH02Gene00469	0	6	0	3	6	3	6	8	1
PH02Gene00470	5	9	13	12	11	8	5	15	1
PH02Gene00471	4	0	9	0	17	4	12	10	2
PH02Gene00472	3	0	0	0	0	0	0	3	0
PH02Gene00473	33	2	36	2	10	16	28	6	9
PH02Gene00474	20	35	100	4	52	18	9	69	19
PH02Gene00475	6	9	20	22	18	1	29	21	0
PH02Gene00476	0	0	1	0	4	0	6	1	10
PH02Gene00477	112	264	33	58	13	155	89	34	68
PH02Gene00478	2	0	24	4	12	0	0	12	7
PH02Gene00479	56	64	85	43	104	36	58	81	66
PH02Gene00480	16	12	20	11	8	20	32	10	2
PH02Gene00481	1	1	15	14	8	2	18	25	2
PH02Gene00482	1	0	7	5	1	0	3	9	0
PH02Gene00483	32	7	58	20	15	21	15	43	13
PH02Gene00484	2	4	0	1	3	0	8	0	0
PH02Gene00485	3	0	10	2	2	0	14	4	0
PH02Gene00486	0	0	0	0	0	0	0	0	0
PH02Gene00487	4	4	26	2	8	0	3	11	4
PH02Gene00488	24	8	8	11	12	23	22	17	6
PH02Gene00489	0	0	0	0	0	5	4	0	0
PH02Gene00490	0	0	0	1	1	0	0	4	0
PH02Gene00491	0	0	0	4	8	0	2	0	0
PH02Gene00492	0	3	4	6	4	2	8	5	0
PH02Gene00493	2	0	13	9	2	22	13	10	13
PH02Gene00494	10	0	16	14	5	2	4	9	0
PH02Gene00495	0	0	6	0	1	0	2	14	0
PH02Gene00496	0	7	10	4	5	1	5	14	0
PH02Gene00497	1	0	3	1	1	0	1	15	0
